T,V=200,V=T^{3/4},V=T^2
100,30.9401690733,98.690091582,0.0
900,602.13231259,636.954276882,0.0
4000,4642.08534118,3950.539185,0.0
10000,8161.26225976,5631.32062077,0.0
40000,33908.7934985,18011.9205407,0.0
90000,77242.5937186,33716.127425,0.0
160000,138162.662919,50841.1210768,0.0
360000,312761.608262,84730.800114,0.0
490000,426440.484404,99996.3784391,0.0
