T,V=200,V=T^{3/4},V=T^2
100,38.9569189655,24.512688827,44.6
1000,99.4182896816,136.159314544,326.98
5000,110.073629074,503.642433816,1592.296
10000,56.6342868067,488.345976435,3120.927
20000,56.6719589862,821.929601631,6120.4765
50000,56.694562294,1638.32682232,14677.9946
100000,56.7020967299,2761.64419682,28729.6374
