T,V=200,V=T^{3/4},V=T^2
100,3.07304529848,27.8972832999,0.0
1000,901.830806668,689.017429986,0.0
5000,5511.93579546,4347.43746307,0.0
10000,8540.38559776,6223.61634216,0.0
20000,17333.5200881,13229.0214686,0.0
50000,43712.923559,35229.6995082,0.0
100000,87678.5960104,73151.6631962,0.0
