T,V=200,V=T^{3/4},V=T^2
100,33.4071958038,10.8449456218,130.0
900,36.2562263323,30.4653952116,410.0
4000,174.110900498,328.210420891,910.0
10000,36.3033776555,166.827324377,1460.0
40000,36.3033776932,452.719142046,2960.0
90000,36.3033776932,804.03031289,4460.0
160000,36.3033776932,1200.73828272,5960.0
360000,36.3033776932,2089.59980699,8960.0
490000,36.3033776932,2569.23610566,10460.0
